date,market,ticker,name,wics_major,size_q,market_cap,value,value_20d_mean,score,model_prob,rule_global,rule_sector,ret_5d,ret_10d,ret_20d,ret_40d,ma_gap_20d,vol_20d,turnover_20d_mean,amihud_20d,inv_per,inv_pbr,roe_proxy,peg_approx_20d,peg_approx_40d
2026-02-20,KOSDAQ,100790,미래에셋벤처투자,금융,Q3,1237803972200,39621225650,96111592790.5,1.7973551997904051,0.9177006510287162,4.800873566028017,4.513291501642082,-0.023060796645702264,0.05429864253393668,0.7479369842460615,0.6362359550561798,0.1752837326607819,0.10794870201469296,0.08637104869277781,1.3110497843575692e-12,0.006909894969596462,0.2840909,0.02430188679245283,,
2026-02-20,KOSDAQ,043260,성호전자,IT,Q4,1631224929000,113005852325,39167020247.25,1.6012775883925718,0.9793512485656214,4.800873566028017,2.2993262816045714,-0.14018691588785048,0.17406840224604392,0.7164179104477613,2.605015673981191,0.19769833624078936,0.09599046340897771,0.026727416786554038,2.036879446087718e-12,0.006391409945033874,0.10152284,0.06298200514138817,,
2026-02-20,KOSDAQ,032820,우리기술,산업재,Q4,2476587276900,935758403735,371070115527.0,1.5845331215727856,0.9546928394609953,4.800873566028017,2.6881399922207,0.5631578947368421,0.6194111232279171,0.8609022556390977,3.062927496580027,0.4892443463872036,0.0977698899147701,0.21039760546077674,1.8463611235815287e-13,,0.04653327,,,
2026-02-20,KOSDAQ,056080,유진로봇,산업재,Q4,1391700839200,40849527500,129913738600.0,1.5316448150976183,0.9403995805132185,4.800873566028017,2.6881399922207,-0.188183807439825,0.13282442748091605,0.18152866242038224,1.6256192498230715,0.05977290580589867,0.09736925403845871,0.0939867099600151,7.424435755710608e-13,,0.025660764,,,
2026-02-20,KOSDAQ,189300,인텔리안테크,IT,Q3,1304605885500,24377797750,38102622785.0,1.4733221249637116,0.944770814922313,4.800873566028017,2.2993262816045714,0.01334445371142623,0.134453781512605,0.6418918918918919,1.4595141700404857,0.17829607719536433,0.09615608957136021,0.033611803115708605,1.5591399787360539e-12,,0.2096436,,,
2026-02-20,KOSPI,001510,SK증권,금융,Q3,883271029599,609472194195,85463388063.05,2.691029373102457,0.951794236580801,4.800873566028017,4.513291501642082,0.9967948717948718,0.9591194968553458,1.5779310344827584,1.902173913043478,0.9775685112686487,0.12200383197203321,0.14745767099333093,3.1719398915527377e-12,,0.70422536,,,
2026-02-20,KOSPI,006800,미래에셋증권,금융,Q5,40206378540600,508275372750,453874389481.25,2.6884951796208236,0.9510129116154884,4.800873566028017,4.513291501642082,0.36608863198458574,0.4194194194194194,1.3094462540716614,2.2081447963800906,0.520317358207355,0.08872434433618494,0.017074447952873384,1.4084647365598363e-13,0.021791239921551537,0.29154518,0.07477494918207338,,
2026-02-20,KOSPI,003530,한화투자증권,금융,Q4,1995294307500,412696370645,112776175358.0,2.419601712044414,0.8681095418650809,4.800873566028017,4.513291501642082,0.4599686028257457,0.36363636363636354,0.8452380952380953,1.039473684210526,0.4342998149290562,0.0860534873256325,0.07055115136943277,1.0844933982483874e-12,0.01903311762466692,0.8403361,0.02262269938650307,,
2026-02-20,KOSPI,006220,제주은행,금융,Q2,635771728740,203887024645,46430639686.25,2.1899760828095403,0.797312959797801,4.800873566028017,4.513291501642082,0.088673139158576,0.031901840490797584,0.43637916310845437,0.4600694444444444,0.12923799932863367,0.09019364139063998,0.07657210564942994,3.5324170701309232e-12,0.009868745682423763,1.0869565,0.009037948494582676,,
2026-02-20,KOSPI,272210,한화시스템,산업재,Q5,22009108818500,433662783450,310496307027.5,2.0702234230165404,0.8792734312708411,4.333662224130914,2.6881399922207,0.15004935834155964,-0.025104602510460206,0.28729281767955794,1.3799795709908071,0.15989645559538035,0.07612446831505877,0.015856614378527343,1.3798945057786052e-13,0.020790020790020788,0.114285715,0.18188645238810452,,
